seconds,class,coverage,time
27,org.jsoup.parser.HtmlTreeBuilder,0.6313705704326672,58002
28,org.jsoup.parser.ParseError,0.9722222222222222,30533
28,org.jsoup.parser.TreeBuilder,0.8428820261745599,36189
28,org.jsoup.parser.Token,0.9631048387096774,43565
28,org.jsoup.parser.TokenQueue,0.9461322327764433,83441
28,org.jsoup.parser.Tokeniser,0.8122683006471099,44166
28,org.jsoup.parser.ParseSettings,0.9625,33595
28,org.jsoup.parser.ParseErrorList,0.9411764705882353,30397
28,org.jsoup.parser.XmlTreeBuilder,0.7288634438204742,42230
28,org.jsoup.parser.Tag,0.9422507105684816,38581
28,org.jsoup.parser.Parser,0.8949388538957622,40362
28,org.jsoup.parser.CharacterReader,0.9543411091069015,81553
28,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,32093
28,org.jsoup.parser.TokeniserState,0.425,31662
28,org.jsoup.parser.HtmlTreeBuilder,0.6325841531327934,59010
29,org.jsoup.parser.ParseError,0.9722222222222222,31453
29,org.jsoup.parser.TreeBuilder,0.8628605278850077,38755
29,org.jsoup.parser.Token,0.9518044757284517,43539
29,org.jsoup.parser.TokenQueue,0.9434240428308762,81206
29,org.jsoup.parser.Tokeniser,0.7646160002644071,44024
29,org.jsoup.parser.ParseSettings,0.9625,34724
29,org.jsoup.parser.ParseErrorList,0.9411764705882353,31355
29,org.jsoup.parser.XmlTreeBuilder,0.8413243967198477,39256
29,org.jsoup.parser.Tag,0.9422507105684816,40189
29,org.jsoup.parser.Parser,0.8959892740638294,42655
29,org.jsoup.parser.CharacterReader,0.9543437487436875,84547
29,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,33073
29,org.jsoup.parser.TokeniserState,0.425,32591
29,org.jsoup.parser.HtmlTreeBuilder,0.6490712534061744,65588
30,org.jsoup.parser.ParseError,0.9722222222222222,32509
30,org.jsoup.parser.TreeBuilder,0.8470486928412265,38965
30,org.jsoup.parser.Token,0.9631048387096774,45201
30,org.jsoup.parser.TokenQueue,0.9513836547533334,86487
30,org.jsoup.parser.Tokeniser,0.8226880003107518,47006
30,org.jsoup.parser.ParseSettings,0.9625,35452
30,org.jsoup.parser.ParseErrorList,0.9411764705882353,32268
30,org.jsoup.parser.XmlTreeBuilder,0.8596480441530842,41057
30,org.jsoup.parser.Tag,0.9422507105684816,40637
30,org.jsoup.parser.Parser,0.9164107950872658,43543
30,org.jsoup.parser.CharacterReader,0.9543411091069015,87942
30,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,33998
30,org.jsoup.parser.TokeniserState,0.425,33620
30,org.jsoup.parser.HtmlTreeBuilder,0.7322143698349146,75154
